year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
2009,LCA,7,10,1463288897,172223,15.37,0,0
2009,VCT,6,7,704862568.8,108293,19.25,0,0
2009,TTO,3,-3,21445273759,1320921,4.03,0,0
2009,ARG,4,6,384677000000,40482786,8.65,21.99999999,0
2009,BOL,3,5,18870882464,9884790,2.86,0,0
2009,BRA,6.5,8,2054220000000,193886505,8.52,167.0000007,0
2009,CHL,6,8,206471000000,16886184,11.31,3.000000002,0
2009,COL,5.5,7,274237000000,44750054,12.07,139.0000002,1
2009,ECU,5,9,67186830557,14774412,4.61,33.00000067,0
2009,GUY,2,-7,3307887391,747718,11.69,0,0
2009,PRY,4.5,8,24517508572,6163970,5.46,0.999999923,0
2009,PER,5,8,136182000000,28792663,3.73,225.9999982,1
2009,SUR,2.5,-7,4153700530,523113,8.72,0,0
2009,URY,6,9,37368467080,3349676,7.74,1,0
2009,VEN,2,-6,399135000000,28031010,6.1,9.000000052,0
2009,KHM,3,4,10609615491,14093605,0.58,19.00000003,0
2009,CHN,5,7,5501980000000,1331260000,4.7,579.050168,0
2009,PRK,4,6,27133804225,24428340,2.87,0,0
2009,IDN,6,9,710852000000,238620554,6.11,1496.999762,0
2009,LAO,5,7,6567765473,6148621,0.81,26.00000011,0
2009,MYS,1.5,-6,237391000000,27735038,3.69,5.999999995,0
2009,MNG,4.5,10,6759244954,2673794,5.86,25.9999998,0
2009,PHL,4.5,7,194130000000,92414161,3.86,1144.999974,1
2009,THA,1.5,-7,317267000000,66866834,0.93,18.00000001,1
2009,TLS,4.5,6,805616566.6,1074286,3.27,0,0
2009,VNM,4.5,7,108935000000,87092250,1.74,360.5000016,0
2009,AFG,4.5,7,13865194314,28394806,11.46,100.9999999,1
2009,ARM,4,6,9060944166,2888094,18.44,1.200393719,0
2009,AZE,5,7,50491150983,8947243,5.74,0,0
2009,BGD,5.5,6,109195000000,145924795,5,23,0
2009,BTN,4.5,4,1382803098,678329,3.96,22.99999984,0
2009,GEO,1,-4,11523354926,3814419,20.71,1.999999993,0
2009,IND,2,-7,1544380000000,1217726217,5.61,1650.188873,1
2009,KAZ,2.5,-9,137975000000,16092822,6.55,4.914822261,0
