recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3
Belize,2009,7.33,0,0.54,6.45,1683.5,BLZ
Costa Rica,2009,84.37,-0,0.19,69.39,1683.5,CRI
Cuba,2009,81.76,0,0.28,39.9,1683.5,CUB
Dominica,2009,4.63,0.84,1.05,4.6,1683.5,DMA
Dominican Republic,2009,51.14,-0,0.05,16.85,1683.5,DOM
El Salvador,2009,248.17,-0,0.32,114.31,1683.5,SLV
Grenada,2009,3.16,2.48,4.53,3.07,1683.5,GRD
Guatemala,2009,322.02,0,0.72,146.84,1683.5,GTM
Haiti,2009,709.31,45.27,0.05,569.11,1683.5,HTI
Honduras,2009,303.22,47.67,-0,224.58,1683.5,HND
Jamaica,2009,7.77,0,-0,-0,1683.5,JAM
Mexico,2009,178.27,0,1.27,186.11,1683.5,MEX
Montserrat,2009,36.32,0,0,36.31,1683.5,MSR
Nicaragua,2009,451.33,67.28,0.06,167.03,1683.5,NIC
Panama,2009,53.71,0,0.18,49.08,1683.5,PAN
Saint Kitts and Nevis,2009,1.47,-0,-0,1.43,1683.5,KNA
Saint Lucia,2009,5.89,0.4,-0,5.7,1683.5,LCA
Saint Vincent and the Grenadines,2009,4.54,0.86,-0,4.29,1683.5,VCT
Trinidad and Tobago,2009,4.28,0,0.04,4.02,1683.5,TTO
Argentina,2009,69.76,0,1.6,45.9,1683.5,ARG
Bolivia,2009,460.03,31.15,0.11,223.51,1683.5,BOL
Brazil,2009,286.33,0,1.81,185.7,1683.5,BRA
Chile,2009,53.8,-0,0.65,29.02,1683.5,CHL
Colombia,2009,1051.63,-0,0.97,828.52,1683.5,COL
Ecuador,2009,145.92,-0,0.37,74.03,1683.5,ECU
Guyana,2009,42.99,7.93,0,42.11,1683.5,GUY
Paraguay,2009,112.65,-0,0.11,70.38,1683.5,PRY
Peru,2009,335.43,0,1.24,195.81,1683.5,PER
Suriname,2009,107.84,0,0,6.02,1683.5,SUR
Uruguay,2009,28.16,0,0.75,17.07,1683.5,URY
Venezuela,2009,43.97,0,0.24,32.01,1683.5,VEN
Cambodia,2009,458.67,28.48,5.37,285.46,1683.5,KHM
China (People's Republic of),2009,1077.36,-0,-0,901.48,1683.5,CHN
Democratic People's Republic of Korea,2009,47.77,0,-0,22.86,1683.5,PRK
Indonesia,2009,458.02,207.08,-0,-0,1683.5,IDN
Lao People's Democratic Republic,2009,252.27,29.46,19.7,128.88,1683.5,LAO
Malaysia,2009,117.83,0,0.06,108.3,1683.5,MYS
Mongolia,2009,212.71,60.33,13.15,130.37,1683.5,MNG
Philippines,2009,281.78,-0,-0,141.22,1683.5,PHL
Thailand,2009,-0,-0,1,-0,1683.5,THA
Timor-Leste,2009,187.02,3.68,0.16,50.21,1683.5,TLS
Viet Nam,2009,1849.51,1127.22,3.57,1423.02,1683.5,VNM
Afghanistan,2009,5368.48,289.42,126.5,4609.92,1683.5,AFG
Armenia,2009,224.18,124.04,1.32,205.94,1683.5,ARM
Azerbaijan,2009,122.88,34.84,30.42,108.86,1683.5,AZE
Bangladesh,2009,697.61,101,8.36,435.91,1683.5,BGD
Bhutan,2009,49.77,30.03,0.93,20.77,1683.5,BTN
Georgia,2009,476,150.62,21.33,410.26,1683.5,GEO
India,2009,1428.02,455,2.14,1313.4,1683.5,IND
Kazakhstan,2009,182.16,0,69.88,166.37,1683.5,KAZ
Kyrgyzstan,2009,142.29,23.79,51.02,105.46,1683.5,KGZ
Maldives,2009,16.02,4.28,-0,15.87,1683.5,MDV
Myanmar,2009,226.61,0,5.75,143.76,1683.5,MMR
Nepal,2009,485.6,112.1,0.43,274.95,1683.5,NPL
Pakistan,2009,1361.27,954.75,205.07,1164.63,1683.5,PAK
Sri Lanka,2009,361.84,134.59,7.27,163.62,1683.5,LKA
Tajikistan,2009,138.1,44.82,8.81,102.64,1683.5,TJK
Turkmenistan,2009,15.03,0,10.46,13.49,1683.5,TKM
Uzbekistan,2009,73.35,26.76,21.24,61.53,1683.5,UZB
Iran,2009,60.89,0,12,45.29,1683.5,IRN
Iraq,2009,2939.31,30.83,42.66,2801.45,1683.5,IRQ
Jordan,2009,535.58,-0,48.05,511.88,1683.5,JOR
Lebanon,2009,380.33,0,46.02,319.3,1683.5,LBN
Oman,2009,8.73,0,185.84,8.43,1683.5,OMN
Syrian Arab Republic,2009,63.7,-0,42.91,42.38,1683.5,SYR
West Bank and Gaza Strip,2009,1780.35,0,262.28,1345.86,1683.5,PSE
Yemen,2009,234.53,73.36,119.29,185.46,1683.5,YEM
Cook Islands,2009,7.14,0,0,-0,1683.5,COK
Fiji,2009,50.25,0,0.08,21.76,1683.5,FJI
Kiribati,2009,24.49,0,0,5.76,1683.5,KIR
Marshall Islands,2009,64.89,0,0.05,62.77,1683.5,MHL
Nauru,2009,25.03,0,0,2.08,1683.5,NRU
Niue,2009,8.92,0,0,0.07,1683.5,NIU
Palau,2009,36.71,0,0.01,35.48,1683.5,PLW
Papua New Guinea,2009,368.71,10.16,0,3.32,1683.5,PNG
Samoa,2009,49.87,1.82,0.02,15.58,1683.5,WSM
Solomon Islands,2009,233.27,-0,-0,5.45,1683.5,SLB
Tokelau,2009,12.74,0,0,0,1683.5,TKL
Tonga,2009,37.11,1.62,0.01,11.05,1683.5,TON
Tuvalu,2009,14.38,0,0.01,7.22,1683.5,TUV
Vanuatu,2009,108.74,-0,0,42.5,1683.5,VUT
Wallis and Futuna,2009,101.51,0,0,101.45,1683.5,WLF
Albania,2010,210.9,14.46,8.6,122.32,1741.3,ALB
Belarus,2010,96.27,0,3.75,53.55,1741.3,BLR
Bosnia and Herzegovina,2010,237.85,92.96,14.9,74.1,1741.3,BIH
Croatia,2010,37.42,0,0.31,25.78,1741.3,HRV
North Macedonia,2010,90.28,-0,20.26,59.14,1741.3,MKD
Moldova,2010,94.68,59.65,24.53,52.68,1741.3,MDA
Montenegro,2010,42.07,2.98,7.18,21.67,1741.3,MNE
Serbia,2010,307.81,23.6,3.83,209.65,1741.3,SRB
Turkey,2010,606.2,-0,14.61,503.36,1741.3,TUR
Ukraine,2010,430.95,0,21.56,350.41,1741.3,UKR
Algeria,2010,130.92,0,-0,100.44,1741.3,DZA
Egypt,2010,346.91,-0,74.73,281,1741.3,EGY
Libya,2010,17.4,0,0.72,16.24,1741.3,LBY
Morocco,2010,535.08,-0,10.67,426.77,1741.3,MAR
Tunisia,2010,313.07,-0,2.64,169.15,1741.3,TUN
Angola,2010,148.54,3.73,0.09,116.65,1741.3,AGO
Benin,2010,331.1,81.6,1.14,220,1741.3,BEN
Botswana,2010,108.79,-0,-0,102.35,1741.3,BWA
Burkina Faso,2010,411.86,182.91,4.92,220.73,1741.3,BFA
Burundi,2010,264.63,102.7,0.32,149.42,1741.3,BDI
Cabo Verde,2010,232.8,20.75,-0,57.93,1741.3,CPV
Cameroon,2010,245.27,79.22,0.08,224.99,1741.3,CMR
Central African Republic,2010,109.37,16.99,0.4,60.78,1741.3,CAF
Chad,2010,294.21,-0,-0,236.31,1741.3,TCD
Comoros,2010,20.11,4.7,15.72,20.11,1741.3,COM
Congo,2010,1109.03,20.43,0.49,1041.17,1741.3,COG
C�te d'Ivoire,2010,408.36,177.99,1.48,394.48,1741.3,CIV
Democratic Republic of the Congo,2010,2240.15,282.41,6.55,721.32,1741.3,COD
Djibouti,2010,86.44,-0,7.48,85.86,1741.3,DJI
Equatorial Guinea,2010,71.18,-0,-0,53.39,1741.3,GNQ
Eritrea,2010,31.56,1.33,22.21,15.83,1741.3,ERI
Ethiopia,2010,1861.78,635.98,34.66,1599.97,1741.3,ETH
Gabon,2010,72.91,0,0.03,72.55,1741.3,GAB
Gambia,2010,29.41,10.95,1.3,23.79,1741.3,GMB
Ghana,2010,858.44,304.79,3.27,629.18,1741.3,GHA
Guinea,2010,87.34,0.06,-0,80.36,1741.3,GIN
Guinea-Bissau,2010,49.15,7.79,0.23,23.74,1741.3,GNB
Kenya,2010,1175.47,127,3.36,974.33,1741.3,KEN
Lesotho,2010,97.14,32.65,2.84,79.57,1741.3,LSO
Liberia,2010,647.16,39.97,1.45,531.92,1741.3,LBR
Madagascar,2010,212.48,75.73,8.75,188.95,1741.3,MDG
Malawi,2010,484.61,125.79,-0,381.66,1741.3,MWI
Mali,2010,661.62,146.55,-0,466.67,1741.3,MLI
Mauritania,2010,91.07,36.64,17.38,58.52,1741.3,MRT
Mauritius,2010,52.91,-0,-0,51.78,1741.3,MUS
Mayotte,2010,541.73,0,0,541.73,1741.3,MYT
Mozambique,2010,1285.76,157.07,1.81,659.52,1741.3,MOZ
Namibia,2010,217.6,0,-0,187.86,1741.3,NAM
Niger,2010,361.21,68.63,2.35,247.96,1741.3,NER
Nigeria,2010,868.64,932.92,1.5,820.52,1741.3,NGA
Rwanda,2010,532.57,139.18,1.77,376.69,1741.3,RWA
Saint Helena,2010,50.19,0,0,50.19,1741.3,SHN
Sao Tome and Principe,2010,29.77,2.04,0,5.03,1741.3,STP
Senegal,2010,502.97,105.63,12.75,378.73,1741.3,SEN
Seychelles,2010,25.51,0,16.38,25.15,1741.3,SYC
Sierra Leone,2010,178.4,54.79,0.84,154.88,1741.3,SLE
Somalia,2010,301.14,0,6.45,185.62,1741.3,SOM
South Africa,2010,857.49,0,1.63,727.9,1741.3,ZAF
South Sudan,2010,0,0,0,0,1741.3,SSD
Sudan,2010,1503.42,0,29.26,1140.14,1741.3,SDN
Eswatini,2010,32.37,-0,0.66,30.13,1741.3,SWZ
Tanzania,2010,1602.37,663.19,4.36,1069.66,1741.3,TZA
Togo,2010,228,7.59,0.61,200.54,1741.3,TGO
Uganda,2010,981.91,311.55,0.97,664.89,1741.3,UGA
Zambia,2010,588.03,32,-0,408.27,1741.3,ZMB
Zimbabwe,2010,496.58,0,-0,333.99,1741.3,ZWE
Anguilla,2010,0.28,0,0,0.28,1741.3,AIA
Antigua and Barbuda,2010,5.61,0,0,5.48,1741.3,ATG
Barbados,2010,2.1,0,0,1.83,1741.3,BRB
Belize,2010,10.26,0,-0,9.32,1741.3,BLZ
Costa Rica,2010,73.85,-0,0.11,64.16,1741.3,CRI
Cuba,2010,81.92,0,-0,33.5,1741.3,CUB
Dominica,2010,4.91,-0,1.58,4.63,1741.3,DMA
Dominican Republic,2010,89.9,-0,0.03,41.77,1741.3,DOM
El Salvador,2010,242.58,-0,0.15,149.93,1741.3,SLV
Grenada,2010,5.36,5.03,-0,4.89,1741.3,GRD
Guatemala,2010,333.62,0,0.27,174.18,1741.3,GTM
Haiti,2010,2300.06,100.68,16.86,1923.38,1741.3,HTI
Honduras,2010,273.59,104.01,0.75,180.4,1741.3,HND
Jamaica,2010,-0,0,-0,-0,1741.3,JAM
Mexico,2010,431.45,0,1.23,423.04,1741.3,MEX
Montserrat,2010,15.52,0,0,15.52,1741.3,MSR
Nicaragua,2010,362.7,42.55,0.04,129.24,1741.3,NIC
Panama,2010,99.33,0,0.21,92.56,1741.3,PAN
Saint Kitts and Nevis,2010,-0,-0,-0,-0,1741.3,KNA
Saint Lucia,2010,1.09,9.79,-0,0.09,1741.3,LCA
Saint Vincent and the Grenadines,2010,0.94,1.19,-0,0.22,1741.3,VCT
Trinidad and Tobago,2010,3.49,0,0,2.82,1741.3,TTO
Argentina,2010,94.32,0,-0,70.94,1741.3,ARG
Bolivia,2010,401.63,42.08,0.09,183.23,1741.3,BOL
Brazil,2010,383.15,0,1.68,303.72,1741.3,BRA
Chile,2010,146.65,-0,2.21,109.39,1741.3,CHL
Colombia,2010,556.09,-0,1.86,413.98,1741.3,COL
Ecuador,2010,120.96,-0,0.43,48.27,1741.3,ECU
Guyana,2010,59.67,2.75,0.02,34.96,1741.3,GUY
Paraguay,2010,69.38,-0,0.1,33.85,1741.3,PRY
Peru,2010,-0,0,1.11,-0,1741.3,PER
Suriname,2010,71.98,0,0,1.02,1741.3,SUR
Uruguay,2010,28.59,0,0.95,20.36,1741.3,URY
Venezuela,2010,35.41,0,0.59,26.44,1741.3,VEN
Cambodia,2010,483.01,31.37,2.1,306.01,1741.3,KHM
China (People's Republic of),2010,733.64,-0,5.99,598.85,1741.3,CHN
Democratic People's Republic of Korea,2010,27.8,0,5.01,9.93,1741.3,PRK
Indonesia,2010,931.7,105.23,-0,492.89,1741.3,IDN
Lao People's Democratic Republic,2010,260.05,35.07,21.13,148.11,1741.3,LAO
Malaysia,2010,-0,0,0.21,-0,1741.3,MYS
Mongolia,2010,219.04,27.3,4.21,134.06,1741.3,MNG
Philippines,2010,450.61,-0,-0,262.07,1741.3,PHL
Thailand,2010,-0,-0,0.89,-0,1741.3,THA
Timor-Leste,2010,240.2,4.21,0.47,63.13,1741.3,TLS
Viet Nam,2010,1621.15,812.51,2.61,1155.88,1741.3,VNM
Afghanistan,2010,5618.78,135.26,110.45,4893.85,1741.3,AFG
Armenia,2010,198.92,19.4,1.91,183.92,1741.3,ARM
Azerbaijan,2010,67.26,34.36,15.68,53.32,1741.3,AZE
Bangladesh,2010,836.09,104.76,-0,499.99,1741.3,BGD
Bhutan,2010,64.22,6.88,0.69,35.06,1741.3,BTN
Georgia,2010,377,50.96,14.61,321.75,1741.3,GEO
