recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Algeria,2009,177.07,0,10.04,113.78,1683.5,DZA,5.5,10,155606000000,35333882,10.16,48.00000019,1
Egypt,2009,569.05,-0,113.28,476.95,1683.5,EGY,4,6,208264000000,81134789,9.09,2.000000043,0
Libya,2009,29.89,0,0.72,28.91,1683.5,LBY,1,-9,71198368527,6133987,18.95,0,0
Morocco,2009,615.77,-0,18.53,409.45,1683.5,MAR,1.5,-9,89790590993,31929087,8.96,30.00000013,0
Tunisia,2009,299.44,-0,-0,189.38,1683.5,TUN,5,8,42556693819,10525691,13.29,16.9999999,0
Angola,2009,147.03,19.63,0.01,70.32,1683.5,AGO,4,6,80264693647,22514275,3.78,62.00000006,1
Benin,2009,305.68,87.23,3.32,179.73,1683.5,BEN,5.5,7,9337935021,8944713,0.97,9.999999989,0
Botswana,2009,252.52,-0,-0,246.43,1683.5,BWA,4.5,7,11778027692,1953495,16.17,0,0
Burkina Faso,2009,421.18,216.22,0.64,237.74,1683.5,BFA,2,-5,9322236611,15141098,4.23,9.000000003,0
Burundi,2009,250.23,58.96,0.09,133.56,1683.5,BDI,4,-1,1933080966,8397661,1.75,0,0
Cabo Verde,2009,151.25,0.47,-0,63.62,1683.5,CPV,7,9,1640251720,486667,10.62,2.999999994,0
Cameroon,2009,247.26,45.9,0.81,214.73,1683.5,CMR,4.5,8,25303315390,19789922,3.77,0,0
Central African Republic,2009,95.43,27.6,0.43,74.61,1683.5,CAF,1.5,-7,2047763337,4337623,4.34,3.99999999,1
Chad,2009,362.01,3.66,-0,283.48,1683.5,TCD,3.5,-1,9395062315,11560142,1.5,5.999999992,1
Comoros,2009,24.23,-0,0.77,24.15,1683.5,COM,4,6,874739223.3,673251,6.19,2.000000007,0
Congo,2009,200.76,11.11,0.19,147.82,1683.5,COG,5,9,11948903384,4145400,16.1,0,0
C�te d'Ivoire,2009,1559.34,179.11,2.24,1421.72,1683.5,CIV,3,5,24416151588,20059147,6.41,27.00000012,0
Democratic Republic of the Congo,2009,1063.06,387.54,1.71,691.19,1683.5,COD,2.5,1,20134560220,62448572,3.7,0,0
Djibouti,2009,85.45,6.54,10.37,81.4,1683.5,DJI,3.5,5,1337019313,827820,11.46,0,0
Equatorial Guinea,2009,21.01,-0,-0,2.94,1683.5,GNQ,6,9,17913034099,901589,8.37,0,0
Eritrea,2009,39.95,4.56,17.93,20.47,1683.5,ERI,3,-6,1555387289,3119920,6.72,0,0
Ethiopia,2009,1818.53,1001.81,18.73,1467.8,1683.5,ETH,5.5,7,26595865977,85233923,2.35,0,1
Gabon,2009,45.67,0,0.01,46,1683.5,GAB,1,-7,13421054291,1568925,19.59,0,0
Gambia,2009,19.95,15.75,1.02,21.57,1683.5,GMB,2,-7,1457196339,1740277,9.36,4.999999963,0
Ghana,2009,782.6,238.5,5.83,568.51,1683.5,GHA,2.5,-6,29839998860,24170943,5.14,40.00000006,0
Guinea,2009,159.08,-0,-0,149.47,1683.5,GIN,3.5,5,6538734824,9964470,4.42,2.000000001,0
Guinea-Bissau,2009,45.39,14.13,0.01,17.97,1683.5,GNB,5.5,8,812418063.7,1483920,3.05,0,0
Kenya,2009,1255.73,80.29,4.07,972.71,1683.5,KEN,1.5,-2,36898510533,40901798,2.83,36,0
Lesotho,2009,68.68,10.87,4.51,42.37,1683.5,LSO,4.5,7,2122932396,1990135,27.5,0,0
Liberia,2009,334.11,40.98,0.16,247.63,1683.5,LBR,4,8,1883132183,3754129,2.24,1.999999999,0
Madagascar,2009,232.51,34.35,1.36,208.43,1683.5,MDG,2.5,-6,9921275541,20569115,3.88,27.00000005,0
Malawi,2009,428.16,78.9,0.11,309.47,1683.5,MWI,6,9,6512015361,14128161,5.89,4,0
Mali,2009,550.46,160.94,1.09,349.87,1683.5,MLI,4,6,10149812717,14581427,9.28,24.99999993,1
Mauritania,2009,107.63,36.73,20.07,67.19,1683.5,MRT,4.5,9,5485158523,3393408,9.81,1,0
Mauritius,2009,56.82,-0,-0,55.97,1683.5,MUS,4.5,7,9584152842,1247429,7.26,0,0
Mayotte,2009,469.09,0,0,469.09,1683.5,MYT,4,7,12621419531,2825932,19.03,3631.997548,0
Mozambique,2009,1232.85,205.57,0.04,605.28,1683.5,MOZ,3.5,5,10426669785,22894718,3.17,12.50000002,0
Namibia,2009,242.98,0,-0,214.37,1683.5,NAM,6,10,10780286075,2081039,21.99,91.99999902,0
Niger,2009,236.73,37.45,1.66,159.59,1683.5,NER,1.5,-7,7230912194,15843131,0.91,3,0
Nigeria,2009,709.91,459.45,1.58,655.17,1683.5,NGA,2,-6,334665000000,154324939,3.75,31,1
Rwanda,2009,507.44,109.9,2.21,326.07,1683.5,RWA,1.5,-7,5702943253,9782770,1.02,0,1
Saint Helena,2009,31.22,0,0,31.22,1683.5,SHN,2.5,-6,231892000000,29360827,8.1,10.99999993,0
Sao Tome and Principe,2009,17.3,1.06,0.01,3.05,1683.5,STP,6,9,184352542.7,175877,15.12,0,0
Senegal,2009,475,129.71,3.9,334.66,1683.5,SEN,4.5,7,15592587304,12335092,10.25,6.000000002,0
Seychelles,2009,9.89,0,0.05,9.83,1683.5,SYC,7,8,915423405.1,87298,10.16,0,0
Sierra Leone,2009,181.55,34.79,0.29,154.96,1683.5,SLE,3.5,-1,2447188210,6272735,3.99,102.9999996,0
Somalia,2009,499.12,0,7.98,335.33,1683.5,SOM,2,4,30168134365,11717691,13.32,0,1
South Africa,2009,905.95,0,2.29,742.67,1683.5,ZAF,5,7,364276000000,50477013,23.52,34.99999997,0
South Sudan,2009,0,0,0,0,1683.5,SSD,5,6,13841690704,9142258,12.52,0,0
Sudan,2009,1966.52,-0,55.9,1625.23,1683.5,SDN,1,-9,63433296122,33783779,13,20.00000004,1
Eswatini,2009,20.38,-0,-0,15.98,1683.5,SWZ,4.5,7,4276537205,1057462,27.39,0,0
Tanzania,2009,1361.18,797.9,-0,811.25,1683.5,TZA,4,1,30106541769,43073830,2.5,28.99999993,0
Togo,2009,353.25,6.03,0.88,104.29,1683.5,TGO,2.5,-6,3232314271,6250840,2.8,0,0
Uganda,2009,1009.42,381.52,0.31,663.68,1683.5,UGA,1,-7,25141526759,31411096,3.6,0,1
Zambia,2009,689.09,41.11,0.4,434.38,1683.5,ZMB,1,-7,18373423318,13215142,10.5,31.00000021,0
Zimbabwe,2009,635.15,0,0.14,462.84,1683.5,ZWE,5,7,10061936650,12526964,5.03,0,0
