recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Kyrgyzstan,2012,133.19,49.5,102.91,103.43,1823.3,KGZ,7,10,5075444934,5607200,8.43,12.00000012,0
Maldives,2012,14.45,5.16,5.03,7.54,1823.3,MDV,5,8,2880634127,397231,7.57,0,0
Myanmar,2012,288.6,0,-0,166.6,1823.3,MMR,4,5,58387839939,51413703,0.79,39.99999992,1
Nepal,2012,465.21,133.66,0.82,274.88,1823.3,NPL,4.5,-1,17284821172,26989160,2.36,83.00000005,0
Pakistan,2012,1485.8,323.41,113.49,1312.77,1823.3,PAK,2.5,2,188419000000,187280125,1.7,670.9999999,1
Sri Lanka,2012,292.31,87.6,-0,168.77,1823.3,LKA,3.5,-5,67116705113,20425000,3.88,53.00000008,0
Tajikistan,2012,148.13,8.14,20.1,119.74,1823.3,TJK,2.5,-6,6514177283,7874838,9.5,2,0
Turkmenistan,2012,14.25,0,11.02,12.36,1823.3,TKM,1,-8,28778101991,5267906,4,0.765209551,0
Uzbekistan,2012,70.88,44.57,6.71,46.8,1823.3,UZB,3.5,-4,54024853523,29774500,4.9,3,0
Iran,2012,98.35,0,9.55,83.27,1823.3,IRN,6,7,462488000000,75539881,12.63,323.9417544,0
Iraq,2012,1044.99,54.58,18.83,953.53,1823.3,IRQ,4.5,5,169731000000,31890012,7.97,5.000000018,1
Jordan,2012,867.67,-0,50.08,818.11,1823.3,JOR,6,10,28553725368,8089963,12.2,0,0
Lebanon,2012,536.47,0,6.02,495.28,1823.3,LBN,4,5,39762501340,5537620,6.4,0,0
Oman,2012,0,0,0,0,1823.3,OMN,4.5,7,63710994231,3498031,3.52,0,0
Syrian Arab Republic,2012,477,0,767.55,359.22,1823.3,SYR,5,7,66808366776,20438861,8.61,0,1
West Bank and Gaza Strip,2012,1004.32,0,175.84,669.59,1823.3,PSE,1.5,-4,11257897418,3979998,19.2,0,0
Yemen,2012,386.81,18.57,44.13,326.18,1823.3,YEM,2.5,-6,27622540064,24473176,13.24,0,0
Cook Islands,2012,16.78,0,0.03,0.26,1823.3,COK,3,-4,75028081292,10525691,4.38,0,0
Fiji,2012,69.36,0,0.25,18.58,1823.3,FJI,5,9,3270985530,865065,4.42,2,0
Kiribati,2012,49.39,0.82,0,12.84,1823.3,KIR,7,10,166086149.7,106359,12.57,0,0
Marshall Islands,2012,86.79,0,0,80.44,1823.3,MHL,7,10,155765775.7,56712,11.85,0,0
Nauru,2012,22.03,0,3.27,1.28,1823.3,NRU,7,9,58266537.48,10136,9.43,0,0
Niue,2012,17.74,0,0,0.07,1823.3,NIU,6.5,10,11431334447,397231,18.95,4.914822261,0
Palau,2012,11.94,0,0.01,6.7,1823.3,PLW,6.5,7,201688796.2,17635,9.5,0,0
Papua New Guinea,2012,423.06,21.52,0,7.96,1823.3,PNG,2.5,-4,15079613764,7631003,2.63,65,0
Samoa,2012,70.23,2.61,0.02,12.59,1823.3,WSM,6,7,662591405.6,189089,8.75,11.99999994,0
Solomon Islands,2012,218.11,5.96,-0,12.41,1823.3,SLB,3,5,925277260.3,556066,0.96,0,0
Tokelau,2012,18.03,0,0,0.01,1823.3,TKL,4,0,166494000000,46053331,3.87,4.000000008,0
Tonga,2012,53.02,5.94,4.62,10.91,1823.3,TON,6,9,395077523.4,102736,2.11,0,0
Tuvalu,2012,18.72,0.25,0.01,2.96,1823.3,TUV,7,8,32902944.45,10744,8.91,0,0
Vanuatu,2012,80.46,-0,0.03,12.57,1823.3,VUT,6,7,698746320.3,249505,1.85,0,0
Wallis and Futuna,2012,103.02,0,0,102.9,1823.3,WLF,5,8,11431334447,1250400,18.51,7.000000009,0
